1,Texas,833.67,0.75,0.59,0.78,Potato - Sweet,0.2
2,Utah,396.46,0.6,0.1,0.69,Corn - On The Cob,0.92
3,Maryland,587.95,0.95,0.31,0.34,"Juice - Cranberry, 341 Ml",0.22
4,New York,764.33,0.13,0.25,0.69,Apples - Sliced / Wedge,0.16
5,Minnesota,102.55,0.5,0.99,0.05,Beef - Tender Tips,0.06
6,California,613.53,0.17,0.71,0.98,Pur Value,0.67
7,California,702.38,0.6,0.7,0.62,Mushroom - Crimini,0.26
8,Texas,420.15,0.29,0.77,0.02,"Soup - Beef Conomme, Dry",0.62
9,Kansas,498.09,0.7,0.89,0.43,Beef - Eye Of Round,0.77
10,New York,766.21,0.66,0.21,0.41,Bulgar,0.21
11,Florida,724.81,0.82,0.05,0.45,Rolled Oats,0.82
12,Nevada,232.61,0.53,0.11,0.98,Beets - Mini Golden,0.51
13,Missouri,463.47,0.31,0.35,0.21,Tofu - Firm,0.56
14,Louisiana,921.23,0.08,0.34,0.11,Peppercorns - Pink,0.93
15,Rhode Island,787.81,0.62,0.15,0.25,Wine - Casablanca Valley,0.99
16,California,313.39,0.45,0.75,0.2,Chocolate - Dark Callets,0.79
17,Tennessee,510.27,0.82,0.46,0.16,"Stock - Veal, Brown",0.13
18,New Jersey,191.44,0.23,0.07,0.0,Spaghetti Squash,0.77
19,Tennessee,770.19,0.9,0.14,0.24,Apple - Macintosh,0.72
20,New Hampshire,559.62,0.17,0.31,0.75,"Pasta - Fettuccine, Egg, Fresh",0.11
21,California,978.14,0.44,0.69,0.73,Milk - 1%,0.26
22,New York,839.49,0.92,0.92,0.43,Gatorade - Xfactor Berry,0.56
23,California,310.53,0.65,0.36,0.02,Thermometer Digital,0.05
24,California,185.97,0.2,0.76,0.5,Muffin Hinge - 211n,0.87
25,Virginia,848.96,0.83,0.74,0.34,Glove - Cutting,0.87
26,Texas,789.1,0.4,0.14,0.58,"Sparkling Wine - Rose, Freixenet",0.54
27,New York,421.9,0.05,0.84,0.1,Appetizer - Cheese Bites,0.72
28,California,524.03,0.47,0.1,0.19,"Chocolate - Pistoles, White",0.01
29,Florida,880.95,0.37,0.22,0.6,"Shrimp - Baby, Warm Water",0.98
30,Texas,892.59,0.49,0.47,0.12,Bar Nature Valley,0.49
31,West Virginia,672.97,1.0,0.44,0.2,Oven Mitts 17 Inch,0.89
32,Florida,529.06,0.61,0.29,0.05,Chinese Foods - Pepper Beef,0.87
33,California,690.02,0.99,0.35,0.43,Juice - V8 Splash,0.35
34,Kentucky,603.29,0.84,0.67,0.53,"Basil - Primerba, Paste",0.39
35,Indiana,798.39,0.23,0.98,0.69,Lettuce - Belgian Endive,0.87
36,Alabama,202.91,0.79,0.9,0.97,Cup Translucent 9 Oz,0.55
37,Texas,111.68,0.78,0.24,0.3,Pastry - Cheese Baked Scones,0.88
38,Minnesota,212.54,0.47,0.57,0.2,"Split Peas - Green, Dry",0.75
39,Kansas,750.36,0.83,0.85,0.26,"Pasta - Orzo, Dry",0.7
40,Alabama,213.82,0.08,0.23,0.96,Laundry - Bag Cloth,0.69
41,North Carolina,876.93,0.4,0.81,0.14,Ecolab - Solid Fusion,0.9
42,North Carolina,272.22,0.67,0.23,0.8,"Placemat - Scallop, White",0.29
43,Colorado,678.09,0.02,0.92,0.68,Table Cloth 72x144 White,0.63
44,Maine,805.78,0.01,0.5,0.9,Pancetta,0.12
45,New York,592.62,0.53,0.95,0.26,Flour - Teff,0.86
46,California,594.58,0.52,0.01,0.32,Bread - Rye,0.32
47,Texas,198.49,0.88,0.51,0.35,Halibut - Steaks,0.38
48,California,537.2,0.14,0.46,0.7,Eggplant - Regular,0.77
49,Ohio,156.96,0.48,0.2,0.76,Rabbit - Saddles,0.96
50,Pennsylvania,714.59,0.82,0.39,0.41,Wine - Ruffino Chianti Classico,0.61
